incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3223058,"June 1, 2025",Virginia,Danville,Carver Dr and Cheyenne Dr,1,4,0,0,2,https://www.gunviolencearchive.org/incident/3223058,https://www.facebook.com/DanvilleVAPD/posts/pfbid02Z47N1RZD7ezGxQgfQnHTteghggqd7PfPUtehjB3vTKqAyZhoTwoacyzQUiYhko3Ql
3223558,"June 1, 2025",Minnesota,Minneapolis,724 Sibley St NE,1,4,0,2,4,https://www.gunviolencearchive.org/incident/3223558,https://www.cbsnews.com/minnesota/news/man-charges-boom-island-shooting-illegal-firearm/
3223369,"May 31, 2025",Georgia,Snellville,2500 Sawyer Pkwy SW,0,5,0,0,2,https://www.gunviolencearchive.org/incident/3223369,https://www.atlantanewsfirst.com/2025/06/16/police-2-teenage-suspects-arrested-shooting-snellville-park-that-left-several-teens-injured/
3223123,"May 31, 2025",Mississippi,Fayette,1483 Main St,1,8,0,0,3,https://www.gunviolencearchive.org/incident/3223123,https://www.wlbt.com/2025/07/04/exclusive-mother-brothers-arrested-fayette-day-festival-mass-shooting/
3222306,"May 31, 2025",Illinois,Chicago,7800 block of S Throop St,0,7,0,0,0,https://www.gunviolencearchive.org/incident/3222306,https://www.fox32chicago.com/news/chicago-mass-shooting-7-teens
3222806,"May 31, 2025",Indiana,Clarksville,1909 Greentree Blvd,0,4,0,0,2,https://www.gunviolencearchive.org/incident/3222806,https://www.whas11.com/article/news/crime/clarksville-the-bend-apartment-complex-shooting-arrests/417-49dfa7a0-23c2-4235-a33d-a7c2e005f226
3221157,"May 29, 2025",Indiana,Haubstadt,12000 block of S Scottsdale Dr,3,1,0,0,1,https://www.gunviolencearchive.org/incident/3221157,https://www.wevv.com/news/crime/man-accused-of-killing-three-in-gibson-county-files-lawsuit-alleging-elder-abuse-and-fraud/article_36a82ff2-e286-45cd-be57-17df08699561.html
3220578,"May 28, 2025",Washington,Lakewood,8928 N Thorne Ln SW,0,7,0,0,1,https://www.gunviolencearchive.org/incident/3220578,https://www.thenewstribune.com/news/local/crime/article312183386.html
3220528,"May 28, 2025",Hawaii,Waianae,Lahaina St and Jade St,1,3,0,1,4,https://www.gunviolencearchive.org/incident/3220528,https://www.hawaiinewsnow.com/2025/08/19/fourth-suspect-pleads-not-guilty-deadly-makaha-shooting/
3220589,"May 28, 2025",Georgia,Atlanta,2261 Cascade Rd SW,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3220589,https://www.11alive.com/article/news/crime/4-hurt-gas-station-shooting-cascade-road/85-65b76f36-c70d-4e6f-8dde-f5cada91efbb
3219130,"May 27, 2025",Connecticut,Waterbury,495 Union St,0,5,0,0,1,https://www.gunviolencearchive.org/incident/3219130,https://www.wfsb.com/2025/05/27/police-investigating-shooting-brass-mill-center-waterbury/
3218775,"May 26, 2025",Pennsylvania,Philadelphia,N Lemon Hill Dr and Sedgley Dr,2,9,0,0,0,https://www.gunviolencearchive.org/incident/3218775,https://6abc.com/post/5-guns-fired-during-fairmount-park-mass-shooting-philadelphia-police-say/16588961/
3218025,"May 25, 2025",South Carolina,Little River,1522 Watson Ave,0,10,0,0,1,https://www.gunviolencearchive.org/incident/3218025,https://www.wmbfnews.com/2025/09/02/victims-little-river-mass-shooting-blame-lack-security-measures-new-lawsuits/
3217732,"May 25, 2025",Tennessee,Oak Ridge,S Benedict Ave,0,9,0,0,0,https://www.gunviolencearchive.org/incident/3217732,https://www.wbir.com/article/news/local/oak-ridge-anderson/mother-of-victim-from-scarboro-block-party-shooting-speaks-out/51-e9d271f2-e01d-4db9-8923-608e3ca72b53
3217632,"May 24, 2025",Tennessee,Jackson,2700 N Parkway E,0,6,0,1,1,https://www.gunviolencearchive.org/incident/3217632,https://wreg.com/news/mid-south/teen-arrested-after-jackson-tn-shooting-that-injured-7/
3217494,"May 24, 2025",Colorado,Colorado Springs,1429 Potter Dr,0,6,0,0,1,https://www.gunviolencearchive.org/incident/3217494,https://gazette.com/news/crime/palmer-park-academy-shooting-arrest/article_e9f99b26-d38a-424f-adf9-ac2876c6b9dd.html
